status	path	src_sha256	program_src_sha256	notes
different	patches/patch_charge_mana.pl	54a3046627e5645fc181c5c83ce7535d6326ba89aea9deca37d9519c5985e7e6	355396b97f9fbcfcd214370b0ea4279e8d3f588e6636e519bab61c4afb6e1f22	none
same	patches/patch_charge_mana_can_activate.c	2e124c15cb9f47c08c71e65639636efe4f8d0f78e4642933b82267d4f84c5a62	2e124c15cb9f47c08c71e65639636efe4f8d0f78e4642933b82267d4f84c5a62	none
different	patches/patch_charge_mana_can_activate.pl	c1bcd86831a726080b08b30bf479c36532124d898bc475fe03419f8d2cad84d8	63496e1a926d823d0d9370308c121f8ba7eb40890d4b2442e58d892db4644c2a	none
same	patches/patch_choose_a_card_accelerator_for_gold.pl	860285f8db12fedb8945594518bd2d533ea75394196c4e9c132b6d519f52384a	860285f8db12fedb8945594518bd2d533ea75394196c4e9c132b6d519f52384a	none
different	patches/patch_copy_to_display.pl	50c36f860d3e1ccbfed59f0b087b62d9da437bcae2f111fae67a944d528fc1b2	a5759d3e47dbc914495922af47d70e3cf8e3ec38076869ce64063fe1201799fe	none
same	patches/patch_counters.pl	6b5b6d979a64e45e2604435974bc3fc0b723d51e916bdc193665eac49754d90d	6b5b6d979a64e45e2604435974bc3fc0b723d51e916bdc193665eac49754d90d	none
same	patches/patch_create_card_instance.pl	c9a7db5a0a927d0b5ffe2cc536df3cca07f0d4e4440f1fe00df47be9189980c9	c9a7db5a0a927d0b5ffe2cc536df3cca07f0d4e4440f1fe00df47be9189980c9	none
same	patches/patch_deckdll_dll.pl	c0bdf1305a8e2edcd5258f140e656db03eb29e28b9656dc1701d059ba2d09805	c0bdf1305a8e2edcd5258f140e656db03eb29e28b9656dc1701d059ba2d09805	none
same	patches/patch_disable_validate_loaded_game.pl	0299658f255203705d01fc4321f4857c26f67116ef5d86d6ee192121d9c21b4d	0299658f255203705d01fc4321f4857c26f67116ef5d86d6ee192121d9c21b4d	none
same	patches/patch_dispatch_trigger.pl	3c63d3eeadeab06cec83b5ef8237dd6e5139bd7aab023e11ac3833fb6cc74974	3c63d3eeadeab06cec83b5ef8237dd6e5139bd7aab023e11ac3833fb6cc74974	none
same	patches/patch_do_dialog_hook.pl	ff52a76afd2e9e419beae210b1bd2fcbdfe601851c12c6e418b9af4673745cb3	ff52a76afd2e9e419beae210b1bd2fcbdfe601851c12c6e418b9af4673745cb3	none
same	patches/patch_dont_draw_counters_on_planeswalkers.pl	51564f91c39597d7be150f311823dcbc5829a4e0662cefc965ad433bc57e88ba	51564f91c39597d7be150f311823dcbc5829a4e0662cefc965ad433bc57e88ba	none
same	patches/patch_dont_increase_lands_played_when_put_on_bf.pl	d8687c65a397e7c9f293f452cbad78e2964c615abc0186c3ebad5ea1b85c03d1	d8687c65a397e7c9f293f452cbad78e2964c615abc0186c3ebad5ea1b85c03d1	none
same	patches/patch_dont_trigger_bounce_permanent_on_gy_to_hand.pl	9efa20a5b1c9e5a2c8554412062db833d452d2bf780fd15fa63a0dd901d9f70b	9efa20a5b1c9e5a2c8554412062db833d452d2bf780fd15fa63a0dd901d9f70b	none
different	patches/patch_drawfullcard_drawsmallcard_color.c	3a8eb05308c5877032fdde269ee9bb67f1ec10a2f6a18a20ad109aa9b2421089	045cee6be0b95b64753561c44270410dc26dd1a2533a55e426181265ad05f091	none
different	patches/patch_drawfullcard_drawsmallcard_color.pl	cb22fad2f4f653b1fa4c0e655be3c89f57bd9314168cb3de62afaddeb6001d09	90b059edd95a0b9beb3c149aa86eba62937aae13f931980207346faec9b6ef3e	none
same	patches/patch_duel_start.pl	dc02acc93a02da4cb4c10affdc0d40047e80bc58785bbbe2fcce8d1e0503d961	dc02acc93a02da4cb4c10affdc0d40047e80bc58785bbbe2fcce8d1e0503d961	none
same	patches/patch_effect_card_pass_pc_to_drawcardlib.pl	0b2d6e1b83b9b219160bbf4ce6a00de190b4c1d35a910de4d223931e9ba79fc7	0b2d6e1b83b9b219160bbf4ce6a00de190b4c1d35a910de4d223931e9ba79fc7	none
same	patches/patch_effect_card_text_replace_pipe_n.pl	fb4a13fab8931e22453f59b68c6b38dc9784be206499a7edb0e47906e8e8af5b	fb4a13fab8931e22453f59b68c6b38dc9784be206499a7edb0e47906e8e8af5b	none
same	patches/patch_empty_mana_before_changing_phase.pl	3fbf878d07540bf5c5a1d8530e8820f6cdffcefc2abec9c7d7768883601154da	3fbf878d07540bf5c5a1d8530e8820f6cdffcefc2abec9c7d7768883601154da	none
missing-in-program	patches/patch_experience_counters.pl	845997ec0f4b37e65936f8d85cdc836343897d13cb08c117fc599fa3bea5634a		none
same	patches/patch_firebreathing.pl	e8f30dfb5f9f620fd81875848c896de4b5d82a829243ad41ebcdcb013bf54eb4	e8f30dfb5f9f620fd81875848c896de4b5d82a829243ad41ebcdcb013bf54eb4	none
same	patches/patch_fix_discard_trigger_prompt.pl	04d80adf8a5668ac26cfe6fd13d56a5e6ea6afd514231702da76912a461b35e6	04d80adf8a5668ac26cfe6fd13d56a5e6ea6afd514231702da76912a461b35e6	none
missing-in-program	patches/patch_hooks.pl	0e46462a116f939581803fc78f927d182730bfe7a5a9dd4ced4b6dfa3da513f2		none
different	patches/patch_icons.pl	8b39f4d9e20f65b025b2e5d446d440c0f7a8e431d7b06c8fb7c19734fcb0ec02	a739ad37cdea1075b7fd6f5e86a494e395ad6ebeb488a08c3fda23a2951b7485	none
missing-in-program	patches/patch_iid16384.pl	ec533aa247ae8ddc109b76eaca8be691c2be7c1057b207a7ee3ea1f09df8ce1f		none
same	patches/patch_inspired.pl	fb284e1ea4a6e70b0c2ee3e0d80ed0b3a0ff55db701863427d55099c9667dba3	fb284e1ea4a6e70b0c2ee3e0d80ed0b3a0ff55db701863427d55099c9667dba3	none
same	patches/patch_legacy_name.c	659c860f6d49d22c5748f19d7bb1f29d44e2c2d3544699a23bdaa67f2cd984ee	659c860f6d49d22c5748f19d7bb1f29d44e2c2d3544699a23bdaa67f2cd984ee	none
same	patches/patch_legend_rule.c	3e814a63cd4d85515ccf376d0357d6d988593e46ebc51dd952b88ea6e4eaf660	3e814a63cd4d85515ccf376d0357d6d988593e46ebc51dd952b88ea6e4eaf660	none
same	patches/patch_make_manasource_interrupts_interruptible.pl	9f8773b967e05985c4f2f852528a472d8f739c2eba864692d6760fdf10481ba7	9f8773b967e05985c4f2f852528a472d8f739c2eba864692d6760fdf10481ba7	none
