path	language	area	bytes	lines
Program/src/patches/patch_wndproc_CardClass_hook.pl	Perl	source	1240	23
Program/src/patches/patch_x_cost_artifacts.pl	Perl	source	2220	36
Program/src/subtypes.h	C/C++ header	source	29858	644
Shandalar help.bat	batch	unknown	27	1
src/build.pl	Perl	source	4288	148
src/capturestackbacktrace.def	module definition	source	60	4
src/card_id.h	C/C++ header	source	750807	15647
src/cardartlib/CardArtLib.def	module definition	source	314	18
src/cardartlib/CardArtLib.h	C/C++ header	source	1276	42
src/cardartlib/Makefile	make	source	341	18
src/cardartlib/src/main.cpp	C++	source	11405	415
src/cards/alara_reborn.c	C	source	75289	2478
src/cards/alliances.c	C	source	93947	3025
src/cards/angels_feather.asm	assembly	source	178	10
src/cards/antiquities.c	C	source	75714	2458
src/cards/apocalypse.c	C	source	80087	2492
src/cards/arabian_nights.c	C	source	65622	2097
src/cards/archenemy.c	C	source	35278	1067
src/cards/artifact_creatures.c	C	source	4540	155
src/cards/artifacts.c	C	source	39267	1202
src/cards/auto_targets.c	C	source	1204	36
src/cards/avacyn_restored.c	C	source	162901	5376
src/cards/battle_for_zendikar.c	C	source	177395	5295
src/cards/betrayers_of_kamigawa.c	C	source	95685	2989
src/cards/black_creatures.c	C	source	11386	353
src/cards/black_enchantments.c	C	source	2582	78
src/cards/black_oneshot.c	C	source	7204	256
src/cards/blood_crypt.asm	assembly	source	121	8
src/cards/blue_creatures.c	C	source	1429	52
src/cards/blue_enchantments.c	C	source	3075	87
src/cards/blue_oneshot.c	C	source	15690	501
src/cards/born_of_the_gods.c	C	source	143846	4460
src/cards/breeding_pool.asm	assembly	source	125	8
src/cards/champions_of_kamigawa.c	C	source	141178	4551
src/cards/coldsnap.c	C	source	94040	3005
src/cards/commander.c	C	source	45461	1450
src/cards/commander_2013.c	C	source	50740	1536
src/cards/commander_2014.c	C	source	88561	2753
src/cards/commander_2015.c	C	source	69926	2232
src/cards/conflux.c	C	source	60242	1898
src/cards/conspiracy.c	C	source	95603	2861
src/cards/dark_ascension.c	C	source	116536	3800
src/cards/darksteel.c	C	source	86503	2859
src/cards/demons_horn.asm	assembly	source	172	10
src/cards/dissension.c	C	source	138067	4276
